codigo_submodalidade_v2,modalidade_v2,submodalidade_v2,cliente,origem,modalidade_v1,modalidade_v1_alternativa,modalidade_v1_inferida,regra,ambiguidade
0101,Adiantamentos a depositantes,Adiantamentos a depositantes,PF,Sem destinação específica,PF - Outros créditos,,,base,
0101,Adiantamentos a depositantes,Adiantamentos a depositantes,PF,Com destinação específica,PF - Outros créditos,,,base,
0101,Adiantamentos a depositantes,Adiantamentos a depositantes,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0101,Adiantamentos a depositantes,Adiantamentos a depositantes,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0202,Empréstimos,Crédito pessoal - com consignação em folha de pagam.,PF,Sem destinação específica,PF - Empréstimo com consignação em folha,,,base,
0202,Empréstimos,Crédito pessoal - com consignação em folha de pagam.,PF,Com destinação específica,PF - Empréstimo com consignação em folha,,,base,
0202,Empréstimos,Crédito pessoal - com consignação em folha de pagam.,PJ,Sem destinação específica,PF - Empréstimo com consignação em folha,,,tratamento_1,
0202,Empréstimos,Crédito pessoal - com consignação em folha de pagam.,PJ,Com destinação específica,PF - Empréstimo com consignação em folha,,,tratamento_1,
0203,Empréstimos,Crédito pessoal - sem consignação em folha de pagam.,PF,Sem destinação específica,PF - Empréstimo sem consignação em folha,,,base,
0203,Empréstimos,Crédito pessoal - sem consignação em folha de pagam.,PF,Com destinação específica,PF - Empréstimo sem consignação em folha,,,base,
0203,Empréstimos,Crédito pessoal - sem consignação em folha de pagam.,PJ,Sem destinação específica,PF - Empréstimo sem consignação em folha,,,tratamento_1,
0203,Empréstimos,Crédito pessoal - sem consignação em folha de pagam.,PJ,Com destinação específica,PF - Empréstimo sem consignação em folha,,,tratamento_1,
0204,Empréstimos,Crédito rotativo vinculado a cartão de crédito,PF,Sem destinação específica,PF - Cartão de crédito,,,base,
0204,Empréstimos,Crédito rotativo vinculado a cartão de crédito,PF,Com destinação específica,PF - Cartão de crédito,,,base,
0204,Empréstimos,Crédito rotativo vinculado a cartão de crédito,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0204,Empréstimos,Crédito rotativo vinculado a cartão de crédito,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0207,Empréstimos,Vendor,PF,Sem destinação específica,PF - Outros créditos,,,base,
0207,Empréstimos,Vendor,PF,Com destinação específica,PF - Outros créditos,,,base,
0207,Empréstimos,Vendor,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0207,Empréstimos,Vendor,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0208,Empréstimos,Compror,PF,Sem destinação específica,PF - Outros créditos,,,base,
0208,Empréstimos,Compror,PF,Com destinação específica,PF - Outros créditos,,,base,
0208,Empréstimos,Compror,PJ,Sem destinação específica,PJ - Operações com recebíveis,,,base,
0208,Empréstimos,Compror,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0209,Empréstimos,ARO - adiantamento de receitas orçamentárias,PF,Sem destinação específica,PF - Outros créditos,,,base,
0209,Empréstimos,ARO - adiantamento de receitas orçamentárias,PF,Com destinação específica,PF - Outros créditos,,,base,
0209,Empréstimos,ARO - adiantamento de receitas orçamentárias,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0209,Empréstimos,ARO - adiantamento de receitas orçamentárias,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0210,Empréstimos,"Cartão de crédito - compra, fatura parcelada ou saque financiado pela instituição financeira emitente do cartão",PF,Sem destinação específica,PF - Cartão de crédito,,,base,
0210,Empréstimos,"Cartão de crédito - compra, fatura parcelada ou saque financiado pela instituição financeira emitente do cartão",PF,Com destinação específica,PF - Cartão de crédito,,,base,
0210,Empréstimos,"Cartão de crédito - compra, fatura parcelada ou saque financiado pela instituição financeira emitente do cartão",PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0210,Empréstimos,"Cartão de crédito - compra, fatura parcelada ou saque financiado pela instituição financeira emitente do cartão",PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0211,Empréstimos,Home Equity,PF,Sem destinação específica,PF - Outros créditos,,,base,
0211,Empréstimos,Home Equity,PF,Com destinação específica,PF - Outros créditos,,,base,
0211,Empréstimos,Home Equity,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0211,Empréstimos,Home Equity,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0212,Empréstimos,Microcrédito,PF,Sem destinação específica,PF - Outros créditos,,,base,
0212,Empréstimos,Microcrédito,PF,Com destinação específica,PF - Outros créditos,,,base,
0212,Empréstimos,Microcrédito,PJ,Sem destinação específica,PJ - Outros créditos,,,base,
0212,Empréstimos,Microcrédito,PJ,Com destinação específica,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,,,base,
0213,Empréstimos,Cheque especial,PF,Sem destinação específica,PF - Outros créditos,,,base,
0213,Empréstimos,Cheque especial,PF,Com destinação específica,PF - Outros créditos,,,base,
0213,Empréstimos,Cheque especial,PJ,Sem destinação específica,PJ - Cheque especial e conta garantida,,,base,
