dimensao,cliente,valor,valor_desambiguado,taxonomia,aplica_a,significado,aviso,definicao_da_dimensao
uf,,AC,AC,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,AL,AL,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,AM,AM,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,AP,AP,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,BA,BA,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,CE,CE,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,DF,DF,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,ES,ES,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,GO,GO,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,MA,MA,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,MG,MG,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,MS,MS,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,MT,MT,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,PA,PA,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,PB,PB,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,PE,PE,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,PI,PI,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,PR,PR,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
