codigo_submodalidade,codigo_modalidade,modalidade,submodalidade,nome_oficial_modalidade,nome_oficial_submodalidade,definicao,confianca,fonte
0101,01,Adiantamentos a depositantes,Adiantamentos a depositantes,Adiantamentos a depositantes,adiantamentos a depositantes,operações lançadas na rubrica 1.6.1.10.00-1 (1.6.1.10.01.10-5 a partir de jan/25),verbatim,"Instruções 3040, p. 20"
0202,02,Empréstimos,Crédito pessoal - com consignação em folha de pagam.,Empréstimos,crédito pessoal - com consignação em folha de pagam.,"operações de crédito com retenção de parcela do salário ou benefício do tomador, para o pagamento das prestações do empréstimo – desconto em folha de pagamento – nos termos da legislação em vigor.",verbatim,"Instruções 3040, pp. 20 e 21"
0203,02,Empréstimos,Crédito pessoal - sem consignação em folha de pagam.,Empréstimos,crédito pessoal - sem consignação em folha de pagam.,"operações de empréstimos às pessoas físicas, sem vinculação com aquisição de bem ou serviço e sem retenção de parcela do salário ou benefício do tomador para o pagamento das prestações do empréstimo",verbatim,"Instruções 3040, p. 21"
0204,02,Empréstimos,Crédito rotativo vinculado a cartão de crédito,Empréstimos,crédito rotativo vinculado a cartão de crédito,"saldo devedor remanescente após o vencimento da fatura, equivalente à diferença entre o valor total da fatura e o valor pago pelo tomador, aí incluídos os juros calculados até o final do mês",verbatim,"Instruções 3040, p. 21"
0207,02,Empréstimos,Vendor,Empréstimos,vendor,,lacuna,"Anexo 3 (nome); ausente da tabela de Empréstimos das Instruções, p. 20"
0208,02,Empréstimos,Compror,Empréstimos,compror,,lacuna,"Anexo 3 (nome); ausente da tabela de Empréstimos das Instruções, p. 20"
0209,02,Empréstimos,ARO - adiantamento de receitas orçamentárias,Empréstimos,ARO - adiantamento de receitas orçamentárias,operações de crédito por antecipação de receita ao setor público,verbatim,"Instruções 3040, p. 21"
0210,02,Empréstimos,"Cartão de crédito - compra, fatura parcelada ou saque financiado pela instituição financeira emitente do cartão",Empréstimos,"cartão de crédito – compra, fatura parcelada ou saque financiados pela instituição emitente do cartão","crédito parcelado financiado pelo emissor do cartão, com cobrança de encargos financeiros. Essas operações podem estar vinculadas a saques, ao parcelamento de compras ou ao parcelamento de faturas de cartão de crédito.",verbatim,"Instruções 3040, p. 22"
0211,02,Empréstimos,Home Equity,Empréstimos,home equity,"empréstimos a pessoas físicas, garantidos por hipoteca ou por alienação fiduciária de bens imóveis residenciais, sem vinculação a aquisição de bens",verbatim,"Instruções 3040, p. 22"
0212,02,Empréstimos,Microcrédito,Empréstimos,microcrédito,"Deve ser utilizada exclusivamente para operações de Microcrédito Produtivo Orientado disciplinados pela Resolução n° 4.854, de 24 de setembro de 2020.",verbatim,"Instruções 3040, p. 22"
0213,02,Empréstimos,Cheque especial,Empréstimos,cheque especial,"operações de crédito vinculadas à conta corrente, nas quais determinado limite de crédito é disponibilizado aos clientes para utilização de acordo com suas conveniências, sem necessidade de comunicação prévia à instituição financeira",verbatim,"Instruções 3040, pp. 23 e 24"
0214,02,Empréstimos,Conta Garantida,Empréstimos,conta garantida,"operações de crédito rotativo, nas quais determinado limite de crédito é disponibilizado para utilização pelo cliente, através da simples movimentação da conta corrente e/ou solicitação formal à instituição financeira. As operações classificadas nessa modalidade não devem ter data definida para a amortização do saldo devedor, exceto a estabelecida para vigência do contrato",verbatim,"Instruções 3040, p. 24"
0215,02,Empréstimos,Capital de giro com prazo de vencimento até 365 dias,Empréstimos,capital de giro com prazo de vencimento até 365 d,"operações de crédito voltadas para o financiamento de curto prazo (igual ou inferior a 365 dias) das pessoas jurídicas, vinculadas às necessidades de capital de giro e a um contrato específico que estabeleça prazos, taxas e garantias",verbatim,"Instruções 3040, p. 24"
0216,02,Empréstimos,Capital de giro com prazo de vencimento superior a 365 dias,Empréstimos,capital de giro com prazo vencimento superior 365 d,"operações de crédito voltadas para o financiamento de médio e longo prazo (superior a 365 dias) das pessoas jurídicas, vinculadas às necessidades de capital de giro e a um contrato específico que estabeleça prazos, taxas e garantias",verbatim,"Instruções 3040, p. 24"
0217,02,Empréstimos,Capital de giro com teto rotativo,Empréstimos,capital de giro rotativo,"operações de crédito voltadas para o financiamento de capital de giro, vinculadas a um contrato que estabeleça linha de crédito rotativo, de forma que, à medida que a empresa devedora amortize os empréstimos já tomados, o limite disponível para utilização seja restituído, e amortizações com datas predeterminadas, podendo ser facultado ao devedor repactuar o fluxo de pagamentos ao longo da vigência do contrato",verbatim,"Instruções 3040, p. 24"
0218,02,Empréstimos,Cartão de crédito - não migrado,Empréstimos,cartão de crédito – não migrado,"operações anteriormente informadas na modalidade crédito rotativo vinculado a cartão de crédito, sem previsão de consignação em folha de pagamento, quando não forem liquidadas integralmente no vencimento do crédito rotativo vinculado a cartão de crédito e não tenha havido financiamento do saldo devedor nos prazos previstos na Resolução 4.549, de 26 de janeiro de 2017.",verbatim,"Instruções 3040, pp. 24 e 25"
0250,02,Empréstimos,Recebíveis adquiridos,Empréstimos,recebíveis adquiridos,"operações relativas à compra de créditos decorrentes da negociação de bens e serviços mediante pagamento a prazo, onde os referidos créditos não estão devidamente identificados. Nessas operações, o cedente será informado como o cliente devedor da operação",verbatim,"Instruções 3040, p. 25"
0290,02,Empréstimos,Financiamento de projeto,Empréstimos,financiamento de projeto,,lacuna,"Anexo 3 (nome); ausente da tabela de Empréstimos das Instruções, p. 20"
0299,02,Empréstimos,Outros empréstimos,Empréstimos,outros empréstimos,deve ser utilizada quando inexistir submodalidade adequada para a operação sob registro e na composição de dívidas de diferentes submodalidades.,verbatim,"Instruções 3040, p. 25"
0301,03,Direitos creditórios descontados,Desconto de duplicatas,Direitos creditórios descontados,desconto de duplicatas,operações de crédito para adiantamento de recursos com base em fluxo de caixa futuro vinculado a duplicatas mercantis,verbatim,"Instruções 3040, p. 26"
0302,03,Direitos creditórios descontados,Desconto de cheques,Direitos creditórios descontados,desconto de cheques,operações de crédito para adiantamento de recursos com base em fluxo de caixa futuro vinculado a cheques custodiados,verbatim,"Instruções 3040, p. 26"
0303,03,Direitos creditórios descontados,Antecipação de fatura de cartão de crédito,Direitos creditórios descontados,antecipação de fatura de cartão de crédito,operações de crédito para adiantamento de recursos às pessoas jurídicas com base em fluxo de caixa futuro vinculado a direitos creditórios sob a forma de faturas de cartão de crédito,verbatim,"Instruções 3040, p. 26"
0398,03,Direitos creditórios descontados,Outros direitos creditórios descontados,Direitos creditórios descontados,outros direitos creditórios descontados,operações de crédito para adiantamento de recursos com base em outros tipos de direitos creditórios que não títulos. Abrange as operações formalizadas como aquisição de recebíveis comerciais de pessoa não integrante do SFN e nas quais tal pessoa seja devedor solidário ou subsidiário dos recebíveis,verbatim,"Instruções 3040, p. 26"
0399,03,Direitos creditórios descontados,Outros títulos descontados,Direitos creditórios descontados,outros títulos descontados,operações de crédito para adiantamento de recursos com base em outros títulos não relacionados nos demais itens.,verbatim,"Instruções 3040, p. 26"
0401,04,Financiamentos,Aquisição de bens - veículos automotores,Financiamentos,aquisição de bens – veículos automotores,destinados a financiar a compra de veículos automotores,verbatim,"Instruções 3040, p. 27"
0402,04,Financiamentos,Aquisição de bens - outros bens,Financiamentos,aquisição de bens – outros bens,"destinados a financiar a aquisição de bens, serviços, máquinas e equipamentos, exceto veículos automotores",verbatim,"Instruções 3040, p. 27"
0403,04,Financiamentos,Microcrédito,Financiamentos,microcrédito,"Deve ser utilizada exclusivamente para operações de Microcrédito Produtivo Orientado disciplinados pela Resolução n° 4.854, de 24 de setembro de 2020.",verbatim,"Instruções 3040, p. 27"
0404,04,Financiamentos,Vendor,Financiamentos,vendor,"operações de financiamento de vendas baseadas no princípio da cessão de crédito, que permite à empresa tomadora do financiamento (fornecedor/vendedor) vender seus produtos a prazo, recebendo o pagamento à vista da instituição financeira. A empresa compradora assume o compromisso de efetuar o pagamento a prazo, destinado a liquidar a operação junto à instituição financeira. Em geral, a instituição financeira ficará com os direitos creditórios da empresa vendedora, à qual caberá o risco da operação. O registro dessas operações é efetuado tendo como cliente o sacado, sendo o cedente/interveniente reportado na informação adicional 0201",verbatim,"Instruções 3040, pp. 27 e 28"
0405,04,Financiamentos,Compror,Financiamentos,compror,"operações de crédito a pessoas jurídicas, voltadas para o financiamento de suas compras (produtos e serviços), caracterizadas pelo fato de que o desembolso inicial ocorre com o pagamento à vista das compras, pela instituição financeira, diretamente ao fornecedor. As operações de ""Floor-Plan"" devem ser registradas nessa modalidade",verbatim,"Instruções 3040, p. 28"
0406,04,Financiamentos,Cartão de crédito - compra ou fatura parcelada pela instituição financeira emitente do cartão,Financiamentos,cartão de crédito – compra ou fatura parcelada pela instituição financeira emitente do cartão,"devem ser registrados nessa modalidade, desde que haja incidência de juros, os financiamentos parcelados pela instituição financeira, bem como os saques em cartão de crédito financiado (pagamento em múltiplas parcelas).",verbatim,"Instruções 3040, p. 28"
0440,04,Financiamentos,Financiamentos agroindustriais,Financiamentos,financiamentos agroindustriais,operações a pessoas físicas e jurídicas para financiamento de atividade agroindustrial,verbatim,"Instruções 3040, p. 28"
0450,04,Financiamentos,Recebíveis adquiridos,Financiamentos,recebíveis adquiridos,"financiamentos relativos à compra de créditos decorrentes da negociação de bens e serviços mediante pagamento a prazo, onde os referidos créditos não estão devidamente identificados. Nessas operações, o cedente será informado como o cliente devedor da operação",verbatim,"Instruções 3040, pp. 28 e 29"
0490,04,Financiamentos,Financiamento de projeto,Financiamentos,financiamento de projeto,"operações contratadas com prazo superior a 360 dias, com vínculo entre o fluxo de caixa gerado pelo projeto e o pagamento da linha de crédito concedida",verbatim,"Instruções 3040, p. 29"
0499,04,Financiamentos,Outros financiamentos,Financiamentos,outros financiamentos,utilizar apenas quando inexistir submodalidade adequada para a operação sob registro.,verbatim,"Instruções 3040, p. 29"
0501,05,Financiamentos à exportação,Financiamento à exportação,Financiamentos à exportação,financiamento à exportação,"financiamentos para a venda de bens e serviços ao exterior, que não se enquadrem como ACC e ACE. Inclui operações com Cédulas de Crédito à Exportação (CCE) e Notas de Crédito à Exportação (NCE)",verbatim,"Instruções 3040, p. 29"
0502,05,Financiamentos à exportação,Adiantamento sobre contratos de câmbio,Financiamentos à exportação,adiantamento sobre contratos de câmbio,"operações de antecipação parcial ou total de receitas vinculadas a contratos de exportação, com finalidade de financiar a produção das respectivas mercadorias",verbatim,"Instruções 3040, p. 29"
0503,05,Financiamentos à exportação,Adiantamento sobre cambiais entregues,Financiamentos à exportação,adiantamento sobre cambiais entregues,"operações de adiantamento feito ao exportador, por conta do efetivo embarque de mercadorias exportadas (pós-embarque)",verbatim,"Instruções 3040, p. 29"
0504,05,Financiamentos à exportação,Créd decorrentes de contratos de exportação-export note,Financiamentos à exportação,créd decorrentes de contratos de exportação-export note,operação lastreada em contratos de compra e venda entre o exportador e as empresas estrangeiras importadoras,verbatim,"Instruções 3040, p. 30"
0590,05,Financiamentos à exportação,Financiamento de projeto,Financiamentos à exportação,financiamento de projeto,"operações ligadas a exportação, contratadas com prazo superior a 360 dias, em que exista vinculação entre o fluxo de caixa gerado pelo projeto e o pagamento da linha de crédito concedida",verbatim,"Instruções 3040, p. 30"
0599,05,Financiamentos à exportação,Outros financiamentos à exportação,Financiamentos à exportação,outros financiamentos à exportação,utilizar apenas quando inexistir submodalidade adequada para a operação sob registro.,verbatim,"Instruções 3040, p. 30"
0601,06,Financiamentos à importação,Financiamento à importação,Financiamentos à importação,financiamento à importação,"financiamentos destinados à compra de bens ou serviços no exterior, vinculados a linhas externas, lançados na rubrica 1.6.2.25.00-6 e 4.9.2.07.00-8 (1.6.2.25.01.10-6 a partir de jan/25)",verbatim,"Instruções 3040, p. 30"
0701,07,Financiamentos com interveniência,Aquisição de bens com interveniência - veículos autom.,Financiamentos com interveniência,aquisição de bens com interveniência – veículos autom.,"operações de crédito concedidas à empresa vendedora, voltados a financiar a compra de veículos automotores por parte de seus clientes, com interveniência. A empresa vendedora será apontada como cliente dessas operações",verbatim,"Instruções 3040, p. 30"
0702,07,Financiamentos com interveniência,Aquisição de bens com interveniência - outros bens,Financiamentos com interveniência,aquisição de bens com interveniência – outros bens,"operações de crédito concedidas à empresa vendedora, destinados a financiar a compra de máquinas e equipamentos, exceto veículos automotores, por parte de seus clientes, com interveniência. A empresa vendedora será apontada como cliente dessas operações",verbatim,"Instruções 3040, pp. 30 e 31"
0790,07,Financiamentos com interveniência,Financiamento de projeto,Financiamentos com interveniência,financiamento de projeto,,lacuna,"Anexo 3 (nome); ausente da tabela de Financiamentos com interveniência das Instruções, p. 30"
0799,07,Financiamentos com interveniência,Outros financiamentos com interveniência,Financiamentos com interveniência,outros financiamentos com interveniência,"financiamentos concedidos com interveniência, não descrito nos itens anteriores.",verbatim,"Instruções 3040, p. 31"
